"astro-ph/0104251","Zurab Silagadze","R. Foot and Z. K. Silagadze","Do mirror planets exist in our solar system?","11 pages, no figures, LaTeX, aastex style","Acta Phys.Polon. B32 (2001) 2271-2278",,,"astro-ph hep-ph",,"  Mirror matter is predicted to exist if parity is an unbroken symmetry of
nature. Currently, there is a large amount of evidence that mirror matter
actually exists coming from astrophysics and particle physics. One of the most
fascinating (but speculative) possibilities is that there is a significant
abundance of mirror matter within our solar system. If the mirror matter
condensed to form a large body of planatary or stellar mass then there could be
interesting observable effects. Indeed studies of long period comets suggest
the existence of a solar companion which has escaped direct detection and is
therefore a candidate for a mirror body. Nemesis, hypothetical ""death star""
companion of the Sun, proposed to explain biological mass extinctions, may
potentially be a mirror star. We examine the prospects for detecting these
objects if they do indeed exist and are made of mirror matter.
","[{""version"":""v1"",""created"":""Sun, 15 Apr 2001 16:28:16 GMT""}]","2007-05-23"
"astro-ph/0104252","David Smith","David A. Smith (1) and Andrew S. Wilson (1,2) ((1) University of
  Maryland, (2) Adjunct Astronomer, Space Telescope Science Institute)","A Chandra Observation of the Circinus Galaxy","25 pages, 13 figures. Accepted for publication in The Astrophysical
  Journal",,"10.1086/321667",,"astro-ph",,"  We report on a recent Chandra ACIS-S observation of the Circinus galaxy.
These observations confirm that the nuclear spectrum results from reflection of
a hard X-ray continuum by ``neutral'' matter. The nuclear X-ray emission is
extended by \sim 60 pc in the general direction of the optical ``ionization
cone''. An image in the Fe K\alpha line has been made and shows that this
emission extends up to 200 pc from the nucleus. There is also large-scale X-ray
emission both along and perpendicular to the galaxy disk. Thermal plasma models
for this extended gas indicate temperatures kT \sim 0.6 keV, though cooler
photoionized gas is also possible. The X-ray emission from gas in the disk is
probably associated with the starburst ring of radius 150--250 pc. The gas
extending \sim 600 pc perpendicular to the disk is closely correlated with the
high-excitation optical-line emission. In addition to its soft X-ray emission,
we tentatively detect a hard component from the gas above the plane; this hard
emission may represent nuclear X-rays scattered into our line of sight by
electrons in the outflowing wind. Ten compact sources are found in the central
kpc of the galaxy. The most luminous has an X-ray luminosity of \simeq 10^{40}
erg s^{-1} and seems to be an X-ray binary in the Circinus galaxy with a
black-hole mass exceeding 80 M_{\odot}.
","[{""version"":""v1"",""created"":""Sun, 15 Apr 2001 18:25:52 GMT""}]","2009-11-06"
"astro-ph/0104253","Kazuhiro Yamamoto","Kazuhiro Yamamoto (Hiroshima Univ.) and Toshifumi Futamase (Tohoku
  Univ.)","Possible Method to Reconstruct the Cosmic Equation of State from Strong
  Gravitational Lensing Systems","12 pages including 3 figures, to be published in Prog. Theor. Phys",,"10.1143/PTP.105.707","HUPD-0101","astro-ph",,"  A possible method to reconstruct the cosmic equation of state using strong
gravitational lensing systems is proposed. The feasibility of the method is
investigated by carrying out the reconstruction on the basis of a simple
Monte-Carlo simulation. We show that the method can work and that the cosmic
equation of state $w(z)$ can be determined within errors of $\Delta w\sim
\pm0.1$ -- $\pm0.2$ when a sufficiently large number of lensing systems ($N\sim
20$) for $z\simlt 1$ are precisely measured. Statistics of lensed sources in a
wide and deep survey like the SDSS are also briefly discussed.
","[{""version"":""v1"",""created"":""Mon, 16 Apr 2001 04:27:33 GMT""}]","2009-11-06"
"astro-ph/0104254","Geraint F. Lewis","Geraint F. Lewis and Rodrigo A. Ibata","Was SN1997ff at z~1.7 magnified by gravitational lensing?","3 pages, 2 figures. Accepted for publication in MNRAS. Missing
  reference added","Mon.Not.Roy.Astron.Soc. 324 (2001) L25","10.1046/j.1365-8711.2001.04602.x","GFL-01","astro-ph",,"  The quest for the cosmological parameters has come to fruition with the
identification of a number of supernovae at a redshift of $z\sim1$. Analyses of
the brightness of these standard candles reveal that the Universe is dominated
by a large cosmological constant. The recent identification of the $z\sim1.7$
SN1997ff in the northern Hubble Deep Field has provided further evidence for
this cosmology. Here we examine the case for gravitational lensing of SN1997ff
due to the presence of galaxies lying along our line of sight. We find that,
while the alignment of SN1997ff with foreground masses was not favorable for it
to be multiply imaged and strongly magnified, two galaxies did lie close enough
to result in significant magnification: $\mu\sim1.4$ for the case where these
elliptical galaxies have velocity dispersion $200 {\rm km/s}$. Given the small
difference between supernova brightnesses in different cosmologies, detailed
modeling of the gravitational lensing properties of the intervening matter is
therefore required before the true cosmological significance of SN1997ff can be
deduced.
","[{""version"":""v1"",""created"":""Mon, 16 Apr 2001 05:35:59 GMT""},{""version"":""v2"",""created"":""Wed, 25 Apr 2001 22:37:56 GMT""}]","2015-06-24"
"astro-ph/0104255","Brad K. Gibson","Brad K. Gibson (Swinburne), Chris Flynn (Turku)","White Dwarfs and Dark Matter","Accepted for publication as a Technical Comment in Science, in
  response to Oppenheimer et al. (2001, Science, 292, 698)",,,,"astro-ph",,"  Oppenheimer et al. (2001) have argued recently that at least 2% of the
Galactic halo is comprised of white dwarfs If true, this finding has crucial
implications for understanding the formation and evolution of the Milky Way. We
draw attention to three potential shortcomings in the Oppenheimer et al.
analysis which lead us to conclude that the density of white dwarfs with halo
kinematics may have been significantly overestimated.
","[{""version"":""v1"",""created"":""Mon, 16 Apr 2001 09:10:00 GMT""},{""version"":""v2"",""created"":""Sun, 22 Apr 2001 05:11:04 GMT""},{""version"":""v3"",""created"":""Tue, 24 Apr 2001 11:38:13 GMT""},{""version"":""v4"",""created"":""Tue, 12 Jun 2001 05:20:02 GMT""}]","2007-05-23"
"astro-ph/0104256","Peter H. Hauschildt","France Allard (CRAL), Peter H. Hauschildt (UGA), David R. Alexander,
  Akemi Tamanai (WSU) and Andreas Schweitzer (UGA)","The Limiting Effects of Dust in Brown Dwarf Model Atmospheres","49 pages, ApJ, in press. 22 figures (included). Corrected nasty
  typos. Also available at http:/phoenix.physast.uga.edu","Astrophys.J.556:357,2001","10.1086/321547",,"astro-ph",,"  We present opacity sampling model atmospheres, synthetic spectra and colors
for brown dwarfs and very low mass stars in two limiting case of dust grain
formation: 1) inefficient gravitational settling i.e. the dust is distributed
according to the chemical equilibrium predictions, 2) efficient gravitational
settling i.e. the dust forms and depletes refractory elements from the gas, but
their opacity does not affect the thermal structure. The models include the
formation of over 600 gas phase species, and 1000 liquids and crystals, and the
opacities of 30 different types of grains including corundum (Al$_2$O$_3$), the
magnesium aluminum spinel MgAl$_2$O$_4$, iron, enstatite (MgSiO$_3$),
forsterite (Mg$_2$SiO$_4$), amorphous carbon, SiC, and a number of calcium
silicates. The models extend from the beginning of the grain formation regime
well into the condensation regime of water ice ($\teff= 3000 - 100$ K) and
encompasses the range of $\log g= 2.5 - 6.0$ at solar metallicity.
  We find that silicate dust grains can form abundantly in the outer
atmospheric layers of red and brown dwarfs with spectral type later than M8.
The greenhouse effects of dust opacities provide a natural explanation for the
peculiarly red spectroscopic distribution of the latest M dwarfs and young
brown dwarfs. The grainless (Cond) models on the other hand, correspond closely
to methane brown dwarfs such as Gliese 229B. We also recover that the
$\lambda$5891,5897\AA Na I D and $\lambda$7687,7701\AA K I resonance doublets
plays a critical role in T dwarfs where their red wing define the
pseudo-continuum from the $I$ to the $Z$ bandpass.
","[{""version"":""v1"",""created"":""Mon, 16 Apr 2001 15:13:37 GMT""},{""version"":""v2"",""created"":""Wed, 23 May 2001 15:28:58 GMT""}]","2008-11-26"
"astro-ph/0104257","Peter Hoeflich","I. Dominguez, P. Hoeflich, O. Straniero","Constraints on the Progenitors of SNeIa & Implications for the
  Cosmological Equation of State","20 pages + 10 separate figures (gif), ApJ accepted",,"10.1086/321661",,"astro-ph",,"  Detailed calculations for the stellar evolution, explosion and light curves
have been performed to quantify the influence of the main sequence mass M(MS)
and the metallicity of the progenitor on the structure of the exploding WD
which are thought to be the progenitors of SNe Ia. In particular,we study the
effects of progenitors on the brightness decline relation M(dM_15) which is a
corner stone for the use of SNe Ia as cosmological yard-stick.M(MS) has been
identified as the decisive factor to change the energetics of the explosion and
dominates the variations in the rise-time to decline relation of light curves.
M(MS) has little effect on the color index B-V. For similar decline rates
dM_15, the flux at maximum brightness relative to the flux on the radioactive
tail decreases systematically with M(MS) by about 0.2mag. This change goes
along with a reduc- tion of the photospheric expansion velocity $v_{ph}$ by
about 2000 km/sec. A change in the central density has the opposite dependency.
The metallicity Z affects mainly the intrinsic color index B-V by up to
-0.06mag, and it alters the fluxes in the U band and the UV. B-V is critical if
extinction corrections are applied. The spread in the fiducial rise-time to
decline relation in local SNe Ia restricts the range of main sequence masses to
a factor of 2. The upper limit of 1 day for the difference between the local
and distance sample support the need for a positive cosmological constant. The
size of evolutionary effects are small (dM abou 0.2mag) but are absolutely
critical for the reconstruction of the cosmological equation of state.
","[{""version"":""v1"",""created"":""Mon, 16 Apr 2001 15:20:39 GMT""}]","2009-11-06"
"astro-ph/0104258","Peter H. Hauschildt","Peter H. Hauschildt, David K. Lowenthal (UGA), E. Baron (Oklahoma)","Parallel Implementation of the PHOENIX Generalized Stellar Atmosphere
  Program. III: A parallel algorithm for direct opacity sampling","19 pages, ApJ Suppl in press (July 2001), 6 figures. Also available
  at http://phoenix.physast.uga.edu/","Astrophys.J.Suppl. 134 (2001) 323-330","10.1086/320855",,"astro-ph",,"  We describe two parallel algorithms for line opacity calculations based on a
local file and on a global file approach. The performance and scalability of
both approaches is discussed for different test cases and very different
parallel computing systems. The results show that a global file approach is
more efficient on high-performance parallel supercomputers with dedicated
parallel I/O subsystem whereas the local file approach is very useful on farms
of workstations, e.g., cheap PC clusters.
","[{""version"":""v1"",""created"":""Mon, 16 Apr 2001 15:23:27 GMT""}]","2009-11-06"
"cond-mat/0104266","Won Nam Kang","W. N. Kang, Hyeong-Jin Kim, Eun-Mi Choi, C. U. Jung, and Sung-Ik Lee","MgB2 superconducting thin films with a transition temperature of 39
  Kelvin","3 pages and 3 figures","Published in Science 292, 1521 (25 May 2001)","10.1126/science.1060822",,"cond-mat.supr-con cond-mat.mtrl-sci",,"  We report the growth of high-quality c-axis-oriented epitaxial MgB2 thin
films by using a pulsed laser deposition technique. The thin films grown on
(1`1 0 2) Al2O3 substrates show a Tc of 39 K. The critical current density in
zero field is ~ 6 x 10^6 A/cm2 at 5 K and ~ 3 x 10^5 A/cm^2 at 35 K, suggesting
that this compound has great potential for electronic device applications, such
as microwave devices and superconducting quantum interference devices. For the
films deposited on Al2O3, X-ray diffraction patterns indicate a highly
c-axis-oriented crystal structure perpendicular to the substrate surface.
","[{""version"":""v1"",""created"":""Mon, 16 Apr 2001 07:37:08 GMT""},{""version"":""v2"",""created"":""Wed, 30 May 2001 02:37:02 GMT""}]","2009-11-07"
"cond-mat/0104268","Ryoichi Yamamoto","Ryoichi Yamamoto","Simulating Particle Dispersions in Nematic Liquid-Crystal Solvents","5 pages, 5 figures",,"10.1103/PhysRevLett.87.075502",,"cond-mat.soft cond-mat.mtrl-sci cond-mat.stat-mech",,"  A new method is presented for mesoscopic simulations of particle dispersions
in nematic liquid crystal solvents. It allows efficient first-principle
simulations of the dispersions involving many particles with many-body
interactions mediated by the solvents. A simple demonstration is shown for the
aggregation process of a two dimentional dispersion.
","[{""version"":""v1"",""created"":""Sun, 15 Apr 2001 22:39:03 GMT""},{""version"":""v2"",""created"":""Tue, 1 May 2001 19:13:28 GMT""},{""version"":""v3"",""created"":""Sat, 26 May 2001 16:02:45 GMT""},{""version"":""v4"",""created"":""Mon, 4 Jun 2001 16:38:31 GMT""}]","2009-11-07"
